"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"89","Kevin Porter Jr.","HOU","SG,SF,PG DTD","63","139","89.1","20.7"
"90","Kyle Anderson","MEM","SF,PF DTD","76","118","91.8","9.8"
"91","Evan Fournier","NYK","SG,SF","71","116","92.3","10.8"
"92","Spencer Dinwiddie","DAL","PG,SG","62","173","94.3","29.9"
"93","Andrew Wiggins","GSW","SG,SF DTD","63","144","94.5","17.5"
"94","Kelly Olynyk","DET","PF,C","49","126","97.2","19.3"
"95","Jordan Clarkson","UTH","PG,SG DTD","79","133","97.5","13.0"
"96","Nickeil Alexander-Walker","UTH","SG,SF,PG DTD","78","163","98.8","20.7"
"97","Harrison Barnes","SAC","SF,PF","81","129","100.3","12.8"
"98","Devonte' Graham","NOR","PG,SG","82","137","100.8","16.6"
"99","Saddiq Bey","DET","SF","73","116","102.2","12.9"
"100","Daniel Gafford","WAS","C,PF","71","169","107.9","28.0"
"101","RJ Barrett","NYK","SG,SF","79","155","108.8","19.8"
"102","Evan Mobley","CLE","C,PF","89","197","109.7","29.7"
"103","Wendell Carter Jr.","ORL","C DTD","100","129","112.1","8.6"
"104","Nerlens Noel","NYK","PF,C OUT","42","161","112.2","31.0"
"105","Reggie Jackson","LAC","PG,SG","86","149","112.4","16.8"
"106","Ivica Zubac","LAC","C DTD","78","177","112.8","23.8"
"107","Jalen Green","HOU","SG DTD","74","202","113.3","29.8"
"108","Mason Plumlee","CHA","PF,C","77","147","114.3","16.2"
"109","T.J. McConnell","IND","PG,SG DTD","79","163","114.7","22.0"
"110","Bojan Bogdanovic","UTH","SF,PF DTD","86","147","117.5","17.6"
"111","Keldon Johnson","SAS","SF,PF DTD","83","201","117.8","27.8"
"112","Jalen Suggs","ORL","PG,SG DTD","97","226","118.8","34.7"
"113","Jae'Sean Tate","HOU","SF,PF DTD","94","148","118.9","14.8"
"114","Joe Ingles","POR","SG,SF,PF OUT","92","150","119.3","14.9"
"115","De'Andre Hunter","ATL","SF,PF DTD","104","175","122.1","17.4"
"116","Thaddeus Young","TOR","PF,C,SF DTD","100","216","123.0","30.8"
"117","De'Anthony Melton","MEM","PG,SG DTD","85","165","123.3","18.8"
"118","Joe Harris","BKN","SG,SF OUT","92","154","123.7","21.4"
"119","Bobby Portis Jr.","MIL","PF,C","96","150","125.1","15.7"
"120","Jordan Poole","GSW","PG,SG DTD","83","187","125.6","33.3"
"121","Duncan Robinson","MIA","SG,SF DTD","95","160","127.2","20.3"
"122","Jaden McDaniels","MIN","PF,SF DTD","86","161","128.3","19.7"
"123","Larry Nance Jr.","NOR","PF,C","108","166","128.9","15.5"
"124","Mo Bamba","ORL","C DTD","82","144","114.9","19.5"
"125","Kyle Kuzma","WAS","SF,PF DTD","89","176","131.9","23.5"
"126","Dennis Schroder","HOU","PG DTD","89","205","133.6","31.9"
"127","Chuma Okeke","ORL","PF DTD","117","159","135.2","13.9"
"128","Lauri Markkanen","CLE","PF,C DTD","117","183","135.7","18.9"
"129","Kelly Oubre Jr.","CHA","SG,SF,PF","107","188","136.3","23.1"
